id,pracab,pracabbrev,praccolor,rgbcolor,hexcolor
3058,,A216A,"86,38,100,35",,
3059,,A335A,"35,69,100,31",,
3060,,A133A,"26,100,78,23",,
3061,,A134A,"88,52,6,0",,
3062,,A135A,"87,38,42,9",,
3063,,A136A,"71,6,52,0",,
3064,,A137A,"100,82,16,3",,
3065,,A138A,"30,8,15,0",,
3066,,A139A,"30,8,15,0",,
3067,,A140A,"82,48,92,27",,
3068,,A141A,"63,56,55,0",,
3069,,A172A,"69,45,0,0",,
3070,,A143A,"6,20,67,0",,
3071,,A145A,"0,46,98,0",,
3072,,A148A,"38,96,62,48",,
3073,,A149A,"65,27,100,9",,
3074,,A150A,"19,100,57,5",,
3075,,A151A,"63,38,0,0",,
3076,,A152A,"0,60,60,0",,
3077,,A153A,"19,27,43,0",,
3078,,A154A,"38,51,100,20",,
3079,,A156A,"38,95,79,59",,
3080,,A157A,"96,82,21,6",,
3081,,A159A,"79,52,12,1",,
3082,,A166A,"88,9,100,7",,
3083,,A167A,"67,60,59,39",,
3084,,A155A,"78,72,20,4",,
3085,,A169A,"78,28,1,0",,
3086,,A170A,"87,53,0,0",,
3087,,A173A,"48,0,100,0",,
3088,,A727D,"79,25,100,11",,
3089,,A483D,"16,93,67,4",,
3090,,A496D,"67,43,4,0",,
3091,,A639D,"100,98,19,7",,
3092,,A702D,"78,58,19,2",,
3093,,A641D,"91,66,0,0",,
3094,,A739D,"78,30,3,0",,
3095,,A683D,"20,95,89,11",,
3096,,A727A,"90,48,44,17",,
3097,,A743A,"100,98,36,43",,
3098,,A730A,"90,56,9,0",,
3099,,A739A,"90,37,71,25",,
3100,,A740A,"88,36,83,30",,
3101,,A728A,"75,10,27,0",,
3102,,A747A,"77,30,17,0",,
3103,,A734A,"0,98,95,0",,
3104,,A745A,"33,79,0,0",,
3105,,A723A,"14,100,100,5",,
3106,,A725A,"16,91,100,6",,
3107,,A742A,"75,23,17,0",,
3108,,A726A,"21,97,99,12",,
3109,,A737A,"99,86,27,12",,
3110,,A738A,"29,100,100,38",,
3111,,A733A,"22,53,85,5",,
3112,,A735A,"43,78,73,58",,
3113,,A815A,"68,0,19,0",,
3114,,A820A,"89,59,0,0",,
3115,,A729A,"100,96,15,3",,
3116,,A746A,"0,68,94,0",,
3117,,A874B,"0,99,97,0",,
3118,,A904B,"72,66,62,68",,
3119,,A879B,"65,1,5,0",,
3120,,A831B,"31,96,87,42",,
3121,,A828B,"91,53,59,40",,
3122,,A829B,"68,64,0,0",,
3123,,A794B,"51,100,6,0",,
3124,,A804B,"53,85,27,8",,
3125,,A907B,"81,47,47,18",,
3126,,A855B,"93,85,47,55",,
3127,,A927B,"26,98,84,24",,
3128,,A864B,"28,99,94,30",,
3129,,A890B,"65,91,32,18",,
3130,,A897B,"65,1,31,0",,
3131,,A896B,"54,0,20,0",,
3132,,A817B,"57,71,73,78",,
3133,,A894B,"0,0,0,0",,
3134,,A805B,"85,50,0,0",,
3135,,A795B,"11,40,57,0",,
3136,,A799B,"75,68,67,90",,
3137,,A797B,"42,90,82,65",,
3138,,A884B,"18,99,97,8",,
3139,,A866B,"8,52,100,0",,
3140,,A810B,"42,90,82,65",,
3141,,A806B,"84,39,100,39",,
3142,,A789B,"6,9,56,0",,
3143,,A802B,"13,10,10,0",,
3144,,A809B,"87,32,49,9",,
3145,,A790B,"87,62,25,6",,
3146,,A793B,"87,71,0,0",,
3147,,A800B,"87,76,56,75",,
3148,,A796B,"55,98,34,13",,
3149,,A792B,"79,72,0,0",,
3150,,A788B,"67,0,23,0",,
3151,,A787B,"73,0,39,0",,
3152,,A798B,"30,99,84,35",,
3153,,A808B,"0,45,95,0",,
3154,,A791B,"81,41,27,2",,
3155,,A803B,"61,28,2,0",,
3156,,A016B,"50,59,12,0",,
3157,,A007B,"59,39,66,16",,
3158,,A997A,"54,69,61,48",,
3159,,A018B,"31,96,99,43",,
3160,,A986A,"65,62,4,0",,
3161,,A020B,"78,38,0,0",,
3162,,A012B,"46,6,80,0",,
3163,,A014B,"11,81,64,1",,
3164,,A983A,"17,97,83,7",,
3165,,A995A,"25,100,100,25",,
3166,,A006B,"91,45,60,30",,
3167,,A011B,"54,73,67,69",,
3168,,A994A,"2,65,100,0",,
3169,,A009B,"83,38,84,32",,
3170,,A987A,"78,15,31,0",,
3171,,A010B,"87,53,60,41",,
3172,,A017B,"87,53,60,41",,
3173,,A982A,"100,87,33,23",,
3174,,A001B,"75,53,21,2",,
3175,,A002B,"80,46,100,53",,
3176,,A008B,"44,28,100,5",,
3177,,A985A,"90,58,56,43",,
3178,,A993A,"24,93,52,7",,
3179,,A989A,"96,74,20,4",,
3180,,A003B,"0,0,0,0",,
3181,,A549C,"100,75,33,18",,
3182,,A996A,"87,58,0,0",,
3183,,A999A,"50,0,91,0",,
3184,,A000B,"31,14,5,0",,
3185,,A550C,"51,32,51,4",,
3186,,A992A,"88,37,99,33",,
3187,,A984A,"100,75,33,18",,
3188,,A991A,"74,47,73,41",,
3189,,A218C,"62,9,1,0",,
3190,,A203C,"93,78,43,39",,
3191,,A258C,"1,18,70,0",,
3192,,A329C,"76,28,84,13",,
3193,,A289C,"100,91,34,25",,
3194,,A239C,"0,21,85,0",,
3195,,A355C,"69,0,85,0",,
3196,,A257C,"59,0,100,0",,
3197,,A396C,"95,66,8,0",,
3198,,A212C,"43,28,64,3",,
3199,,A330C,"73,4,85,0",,
3200,,A419C,"75,34,0,0",,
3201,,A253C,"29,100,100,38",,
3202,,A305C,"4,3,99,0",,
3203,,A344C,"72,5,34,0",,
3204,,A254C,"71,67,65,78",,
3205,,A252C,"72,71,32,14",,
3206,,A371C,"14,16,36,0",,
3207,,A356C,"81,49,31,7",,
3208,,A282C,"80,40,0,0",,
3209,,A211C,"24,4,47,0",,
3210,,A241C,"17,99,82,7",,
3211,,A255C,"47,69,85,61",,
3212,,A291C,"80,40,0,0",,
3213,,A360C,"82,49,79,57",,
3214,,A404C,"100,87,33,23",,
3215,,A292C,"42,16,62,0",,
3216,,A221C,"74,48,21,2",,
3217,,A395C,"0,93,64,0",,
3218,,A418C,"97,72,16,2",,
3219,,A370C,"34,36,0,0",,
3220,,A362C,"72,0,34,0",,
3221,,A192C,"81,55,0,0",,
3222,,A428C,"91,69,32,15",,
3223,,A293C,"69,67,65,74",,
3224,,A270C,"75,32,17,0",,
3225,,A386C,"88,36,83,30",,
3226,,A228C,"23,100,84,16",,
3227,,A323C,"5,88,71,0",,
3228,,A238C,"100,92,6,0",,
3229,,A327C,"87,48,17,1",,
3230,,A300C,"85,50,0,0",,
3231,,A244C,"88,42,95,46",,
3232,,A210C,"87,32,49,8",,
3233,,A430C,"59,11,100,0",,
3234,,A423C,"90,57,41,20",,
3235,,A269C,"87,66,8,1",,
3236,,A229C,"76,1,100,0",,
3237,,A199C,"50,73,82,69",,
3238,,A303C,"84,42,14,0",,
3239,,A313C,"37,32,0,0",,
3240,,A302C,"86,58,0,0",,
3241,,A364C,"76,50,1,0",,
3242,,A397C,"69,17,0,0",,
3243,,A230C,"88,37,84,31",,
3244,,A415C,"84,40,68,29",,
3245,,A381C,"88,27,91,14",,
3246,,A378C,"82,21,51,2",,
3247,,A348C,"72,0,34,0",,
3248,,A376C,"32,98,91,45",,
3249,,A343C,"8,72,84,0",,
3250,,A271C,"83,8,98,0",,
3251,,A394C,"72,56,44,21",,
3252,,A265C,"81,63,0,0",,
3253,,A278C,"27,23,42,0",,
3254,,A312C,"39,9,80,0",,
3255,,A324C,"82,78,0,0",,
3256,,A209C,"100,74,35,20",,
3257,,A294C,"60,90,0,0",,
3258,,A345C,"67,12,61,0",,
3259,,A232C,"31,10,26,0",,
3260,,A374C,"97,77,20,6",,
3261,,A245C,"17,100,100,9",,
3262,,A317C,"75,74,39,26",,
3263,,A205C,"91,56,30,9",,
3264,,A213C,"31,96,91,39",,
3265,,A191C,"28,96,92,29",,
3266,,A194C,"84,51,82,67",,
3267,,A208C,"22,97,89,13",,
3268,,A197C,"4,59,100,0",,
3269,,A189C,"71,39,15,0",,
3270,,A206C,"35,4,100,0",,
3271,,A204C,"32,37,93,5",,
3272,,A200C,"82,46,100,54",,
3273,,A238F,"10,99,98,1",,
3274,,A239F,"85,73,0,0",,
3275,,A207C,"100,44,0,0",,
3276,,A240F,"87,24,87,10",,
3277,,A196C,"4,1,95,0",,
3278,,A279C,"48,0,4,0",,
3279,,A193C,"72,66,65,75",,
3280,,A190C,"4,87,100,0",,
3281,,A306C,"100,77,21,6",,
3282,,A750B,"90,30,95,30",,
3283,,A775B,"76,65,42,25",,
3284,,A784B,"11,93,100,3",,
3285,,A779B,"61,53,52,24",,
3286,,A748B,"29,100,100,37",,
3287,,A767B,"0,78,96,0",,
3288,,A774B,"5,67,100,0",,
3289,,A761B,"11,21,100,0",,
3290,,A749B,"89,32,89,22",,
3291,,A756B,"36,12,100,0",,
3292,,A762B,"26,98,99,26",,
3293,,A764B,"82,46,95,56",,
3294,,A773B,"61,53,52,24",,
3295,,A747B,"74,51,52,26",,
3296,,A752B,"20,100,98,11",,
3297,,A769B,"85,22,100,8",,
3298,,A781B,"98,90,20,6",,
3299,,A783B,"26,100,100,26",,
3300,,A770B,"100,82,41,36",,
3301,,A757B,"21,100,90,12",,
3302,,A759B,"99,75,27,11",,
3303,,A758B,"36,93,41,13",,
3304,,A751B,"89,53,14,1",,
3305,,A765B,"52,6,100,0",,
3306,,A782B,"29,100,98,37",,
3307,,A772B,"86,56,13,1",,
3308,,A771B,"83,100,4,0",,
3309,,A768B,"83,37,100,32",,
3310,,A760B,"26,100,100,26",,
3311,,A766B,"1,91,86,0",,
3312,,A785B,"27,100,100,31",,
3313,,A777B,"100,82,41,36",,
3314,,A778B,"53,7,33,0",,
3315,,A780B,"24,100,75,17",,
3316,,A763B,"93,86,1,0",,
3317,,A746B,"85,50,0,0",,
3318,,A045B,"7,41,93,0",,
3319,,A030B,"100,96,22,9",,
3320,,A024B,"5,35,100,0",,
3321,,A023B,"93,64,26,7",,
3322,,A042B,"70,61,58,45",,
3323,,A029B,"9,11,25,0",,
3324,,A037B,"9,100,83,2",,
3325,,A032B,"59,34,72,13",,
3326,,A027B,"62,11,14,0",,
3327,,A035B,"81,32,77,18",,
3328,,A036B,"84,36,89,30",,
3329,,A033B,"59,65,64,55",,
3330,,A040B,"26,80,77,18",,
3331,,A031B,"98,78,54,40",,
3332,,A905A,"97,89,10,1",,
3333,,A881A,"2,100,100,0",,
3334,,A912A,"2,99,97,0",,
3335,,A909A,"0,45,99,0",,
3336,,A882A,"65,68,70,80",,
3337,,A910A,"60,90,0,0",,
3338,,A900A,"97,77,6,0",,
3339,,A890A,"3,76,100,0",,
3340,,A889A,"88,42,100,49",,
3341,,A891A,"76,29,44,4",,
3342,,A888A,"51,71,84,70",,
3343,,A897A,"43,64,83,42",,
3344,,A902A,"0,99,97,0",,
3345,,A880A,"23,100,70,13",,
3346,,A903A,"100,89,36,29",,
3347,,A901A,"71,27,24,0",,
3348,,A873A,"51,15,75,0",,
3349,,A878A,"83,13,90,2",,
3350,,A907A,"82,43,4,0",,
3351,,A875A,"78,21,34,0",,
3352,,A913A,"33,52,55,8",,
3353,,A876A,"80,30,31,1",,
3354,,A885A,"80,17,49,1",,
3355,,A894A,"100,98,28,15",,
3356,,A906A,"93,60,49,33",,
3357,,A871A,"23,100,100,16",,
3358,,A911A,"31,99,99,42",,
3359,,A866A,"100,100,31,21",,
3360,,A914A,"1,98,95,0",,
3361,,A886A,"67,60,58,44",,
3362,,A869A,"100,92,30,23",,
3363,,A883A,"86,42,83,43",,
3364,,A877A,"59,27,94,8",,
3365,,A447C,"56,0,31,0",,
3366,,A446C,"62,59,72,58",,
3367,,A451C,"92,98,30,20",,
3368,,A453C,"100,86,0,0",,
3369,,A443C,"45,87,76,69",,
3370,,A450C,"0,0,0,90",,
3371,,A454C,"0,47,87,0",,
3372,,A456C,"95,87,1,0",,
3373,,A432C,"73,68,52,45",,
3374,,A445C,"53,19,100,2",,
3375,,A449C,"78,41,0,0",,
3376,,A945A,"11,99,95,2",,
3377,,A942A,"53,7,33,0",,
3378,,A951A,"82,6,88,0",,
3379,,A925A,"82,6,89,0",,
3380,,A948A,"70,68,64,75",,
3381,,A962A,"0,91,91,0",,
3382,,A976A,"87,48,7,0",,
3383,,A939A,"23,99,100,17",,
3384,,A947A,"78,24,12,0",,
3385,,A959A,"100,80,17,4",,
3386,,A935A,"75,68,67,90",,
3387,,A934A,"4,88,100,0",,
3388,,A921A,"4,88,100,0",,
3389,,A917A,"44,20,76,1",,
3390,,A927A,"66,44,31,4",,
3391,,A918A,"87,35,50,11",,
3392,,A949A,"63,67,45,27",,
3393,,A954A,"27,100,100,33",,
3394,,A958A,"70,0,37,0",,
3395,,A953A,"6,99,96,0",,
3396,,A937A,"41,89,77,63",,
3397,,A946A,"69,49,0,0",,
3398,,A963A,"88,50,2,0",,
3399,,A971A,"97,84,32,20",,
3400,,A952A,"82,40,27,2",,
3401,,A916A,"9,99,96,1",,
3402,,A941A,"50,70,80,70",,
3403,,A975A,"0,50,100,0",,
3404,,A920A,"100,78,36,23",,
3405,,A943A,"95,92,0,0",,
